"INDICATOR","HFAMDB_87"

"HFAMDB_87","Alcohol abuse (including alcoholic psychosis), number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"DEU","","TOTAL","FEMALE","1990","1045"
"DEU","","TOTAL","FEMALE","1991","1069"
"DEU","","TOTAL","FEMALE","1992","1103"
"DEU","","TOTAL","FEMALE","1993","1156"
"DEU","","TOTAL","FEMALE","1994","1169"
"DEU","","TOTAL","FEMALE","1995","1182"
"DEU","","TOTAL","FEMALE","1996","1158"
"DEU","","TOTAL","FEMALE","1997","1225"
"DEU","","TOTAL","FEMALE","1998","1267"
"DEU","","TOTAL","FEMALE","1999","1221"
"DEU","","TOTAL","FEMALE","2000","1053"
"DEU","","TOTAL","FEMALE","2001","958"
"DEU","","TOTAL","FEMALE","2002","990"
"DEU","","TOTAL","FEMALE","2003","1035"
"DEU","","TOTAL","FEMALE","2004","1013"
"DEU","","TOTAL","FEMALE","2005","1064"
"DEU","","TOTAL","FEMALE","2006","1024"
"DEU","","TOTAL","FEMALE","2007","1052"
"DEU","","TOTAL","FEMALE","2008","1047"
"DEU","","TOTAL","FEMALE","2009","970"
"DEU","","TOTAL","FEMALE","2010","1063"
"DEU","","TOTAL","FEMALE","2011","1130"
"DEU","","TOTAL","FEMALE","2012","1075"
"DEU","","TOTAL","FEMALE","2013","1255"
"DEU","","TOTAL","FEMALE","2014","1192"
"DEU","","TOTAL","FEMALE","2015","1259"
"DEU","","TOTAL","FEMALE","2016","1143"
"DEU","","TOTAL","FEMALE","2017","1081"
"DEU","","TOTAL","FEMALE","2018","1111"
"DEU","","TOTAL","FEMALE","2019","1046"
"DEU","","TOTAL","FEMALE","2020","1162"
"DNK","","TOTAL","FEMALE","1994","52"
"DNK","","TOTAL","FEMALE","1995","54"
"DNK","","TOTAL","FEMALE","1996","62"
"DNK","","TOTAL","FEMALE","1997","58"
"DNK","","TOTAL","FEMALE","1998","92"
"DNK","","TOTAL","FEMALE","1999","117"
"DNK","","TOTAL","FEMALE","2000","102"
"DNK","","TOTAL","FEMALE","2001","113"
"DNK","","TOTAL","FEMALE","2002","128"
"DNK","","TOTAL","FEMALE","2003","142"
"DNK","","TOTAL","FEMALE","2004","180"
"DNK","","TOTAL","FEMALE","2005","150"
"DNK","","TOTAL","FEMALE","2006","168"
